Classifications,Permanent Call Number,Material Type,Author,ISBN,ISSN,Title (Complete),Publication Place,Publisher,Publication Date,Barcode,Replacement cost,
Visual arts,N7628.J4 C86,Book,"Cunningham, Noble E., 1926-",0813908213; 9780813908212,,"The image of Thomas Jefferson in the public eye : portraits for the people, 1800-1809 / Noble E. Cunningham, Jr.",Charlottesville :,University Press of Virginia,1981,39097001330563,,39097001330563
Architecture,NA1173.H6 O6,Book,"Oostens-Wittamer, Yolande",,,"Victor Horta : l'hôtel Solvay / par Yolande Oostens-Wittamer ; pref. par Raymond Lemaire = Victor Horta : the Solvay House / by Yolande Oostens-Wittamer ; pref. by Raymond Lemaire ; English translation by John A. Gray, Jr.",Louvain-la-Neuve :,Institut supérieur d'archéologie et d'histoire de l'art Collège Érasme,1980,39097001371930,,39097001371930
Visual arts,N6868.5.E9 G365,Book,,0892070242; 9780892070244,,"Expressionism : a German intuition, 1905-1920 / Solomon R. Guggenheim Museum, New York, San Francisco Museum of Modern Art.",New York :,Solomon R Guggenheim Foundation,1980,39097001380915,,39097001380915
Visual arts,N6921.F7 B56,Book,"Blumenthal, Arthur R.",,,Theater art of the Medici / Arthur R. Blumenthal.,"Hanover, N.H. :",distributed by the University Press of New England; Dartmouth College Museum & Galleries,1980,39097001386292,,39097001386292
Architecture,NA1121.V4 A72,Book,,,,"Architettura e utopia nella Venezia del cinquecento / [a cura di Lionello Puppi ; redazione, Anna Della Valle].",Milano :,Electa Editrice,c1980.,39097001388215,,39097001388215
Visual arts,N7477 .T39 1981,Book,"Taylor, Joshua Charles, 1917-",0226971548; 0226791521; 9780226791524,,Learning to look : a handbook for the visual arts / by Joshua C. Taylor.,Chicago :,University of Chicago Press,1981,39097001391425,,39097001391425
Print media,NE1325.K3 H48,Book,"Katsushika, Hokusai, 1760-1849.",,,Hokusai : the man mad-on drawing / with an introduction by Joe Hloucha.,London :,Spring House,[n.d.],39097001391565,,39097001391565
Visual arts,N6853.G355 A4 1979,Book,,,,"Géricault : Roma, Villa Medici, novembre 1979-gennaio 1980.",Roma :,Edizioni dell'Elefante,1979,39097001391615,,39097001391615
Visual arts,N7442.2 .J36,Book,,0810911531; 9780810911536,,"Art, the ape of nature : studies in honor of H. W. Janson / Moshe Barasch and Lucy Freeman Sandler, editors, Patricia Egan, coordinating editor.",New York :,HN Abrams,1981,39097001407726,,39097001407726
Visual arts,N6868 .D355,Book,,,,Dank in Farben / aus dem Gästebuch Alfred und Thekla Hess ; Nachwort von Hans Hess.,München :,R Piper,1957,39097001415810,,39097001415810
Visual arts,N7607 .D9,Book,,0916758036; 9780916758035,,"Dutch seventeenth century portraiture : the golden age : December 4, 1980-February 8, 1981 / William H. Wilson.","Sarasota, Fla. :",The John and Mable Ringling Museum of Art,1980,39097001431742,,39097001431742
Visual arts,N6853.G34 G7 1980,Book,"Gray, Christopher.",0878172637; 9780878172634,,Sculpture and ceramics of Paul Gauguin / by Christopher Gray.,New York :,Hacker Art Books,"1980, c1963.",39097001431767,,39097001431767
Architecture,NA2500 .C45 1981,Book,"Chang, Amos Ih Tiao.",0691003300; 9780691003306,,The Tao of architecture / Amos Ih Tiao Chang.,"Princeton, N. J. :",Princeton University Press,1981,39097001431965,,39097001431965
Visual arts,N6510 .P54,Book,"Pike, Martha V.",,,A time to mourn : expressions of grief in nineteenth century America / Martha V. Pike and Janice Gray Armstrong.,"Stony Brook, N. Y. :",Museums at Stony Brook,1980,39097001437434,,39097001437434
Visual arts,N6841 .A974,Book,,,,"Art treasures in France: monuments, masterpieces, commissions, and collections. Introduced by Germain Bazin. [General editors: Bernard S. Myers and Trewin Copplestone]","New York,",McGraw-Hill,[1969],39097001437459,,39097001437459
